id;partida_id;clube;cartao;atleta;posicao;minuto
57;4999;Chapecoense;Amarelo;Bruno CÇsar Pereira da Silva;Meio-campo;45+1
58;4999;Chapecoense;Amarelo;Ananias El¢i Castro Monteiro;Meio-campo;33
59;4997;Goias;Amarelo;PÇricles da Silva Nunes;Meio-campo;25
60;4998;Coritiba;Amarelo;Norberto Pereira Marinho Neto;Zagueiro;45+2
61;4998;Gremio;Amarelo;Pedro Geromel;Zagueiro;58
62;4998;Gremio;Amarelo;Marcelo Oliveira Ferreira;Meio-campo;17
63;4999;Corinthians;Amarelo;Ralf de Souza Teles;Meio-campo;66
64;4999;Chapecoense;Amarelo;Roger Rodrigues da Silva;Atacante;45+1
65;4999;Chapecoense;Amarelo;Apodi;Zagueiro;26
66;4997;Athletico-PR;Vermelho;Jadson;Meio-campo;88
67;5002;Flamengo;Amarelo;Jonas Gomes de Sousa;Meio-campo;19
68;5002;Sport;Amarelo;Diego Souza;Meio-campo;90+7
69;5003;Santos;Amarelo;Francisco Souza dos Santos;Zagueiro;66
70;5003;Cruzeiro;Amarelo;Bruno Rodrigo;Zagueiro;84
71;5003;Cruzeiro;Amarelo;Willians Domingos Fernandes;Meio-campo;65
72;5004;Joinville;Amarelo;Mario SÇrgio;Zagueiro;37
73;5004;Palmeiras;Amarelo;Leandro;Atacante;53
